op,src_res,target_res,avg_ms,min_ms,max_ms,trials
crop,512,256,21.5963,17.5308,25.9922,10
crop,768,256,36.6348,32.3145,40.2939,10
crop,768,512,38.966,34.2733,43.489,10
crop,1024,256,56.1997,43.8061,66.2335,10
crop,1024,512,69.9495,52.0252,102.5384,10
crop,1024,768,67.8177,58.1641,85.6332,10
mask,256,256,15.1027,12.118,18.2175,10
mask,512,512,18.6576,16.7044,21.3181,10
mask,768,768,29.9198,27.6147,33.368,10
mask,1024,1024,42.6655,40.6293,45.2626,10
